         187816887 function calls (176357935 primitive calls) in 278.535 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   125841   54.444    0.000  186.044    0.001 node.py:108(run_rollout)
   374198  119.471    0.000  119.471    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
   258083    0.339    0.000   23.558    0.000 __init__.py:2413(fen)
   258083    0.591    0.000   23.161    0.000 __init__.py:2681(epd)
   258083    7.240    0.000   20.691    0.000 __init__.py:979(board_fen)
   287078    3.438    0.000   19.316    0.000 node.py:75(pick_best_child)
  4225888    1.958    0.000   13.970    0.000 __init__.py:3582(generate_legal_moves)
  8545383   11.793    0.000   12.733    0.000 node.py:92(get_score)
  3822846   11.965    0.000   11.965    0.000 node.py:28(__init__)
10834536/129690   10.550    0.000   10.550    0.000 node.py:170(bubble_up)
 16517312    5.296    0.000    8.353    0.000 __init__.py:725(piece_at)
  4366706    3.481    0.000    7.198    0.000 __init__.py:1706(generate_pseudo_legal_moves)
   124710    0.407    0.000    4.778    0.000 chess_utils.py:83(batched_fen_to_tensor)
   132243    0.678    0.000    4.738    0.000 __init__.py:1928(outcome)
   129122    0.063    0.000    4.691    0.000 __init__.py:1921(is_game_over)
  4165156    1.579    0.000    3.822    0.000 __init__.py:3544(_is_safe)
  6237426    1.682    0.000    3.630    0.000 __init__.py:496(symbol)
   287239    1.459    0.000    3.488    0.000 __init__.py:2200(push)
 17379082    2.737    0.000    2.737    0.000 __init__.py:735(piece_type_at)
  9371828    1.840    0.000    2.385    0.000 __init__.py:314(scan_reversed)
   124710    1.210    0.000    2.333    0.000 chess_utils.py:111(normalize_numpy)
   124710    1.743    0.000    2.301    0.000 chess_utils.py:31(fen_to_tensor_lite)
      170    0.004    0.000    1.934    0.011 __init__.py:1(<module>)
   258083    0.817    0.000    1.693    0.000 __init__.py:2376(castling_xfen)
  4444737    1.613    0.000    1.613    0.000 node.py:64(maximize)
  1054086    0.322    0.000    1.608    0.000 __init__.py:823(attackers_mask)
  6237434    1.218    0.000    1.543    0.000 __init__.py:60(piece_symbol)
  4100646    1.531    0.000    1.531    0.000 node.py:69(minimize)
 12942461    1.450    0.000    1.450    0.000 {method 'append' of 'list' objects}
  1054550    1.286    0.000    1.286    0.000 __init__.py:805(_attackers_mask)
   656150    0.187    0.000    1.144    0.000 __init__.py:826(is_attacked_by)
  3802441    0.775    0.000    1.112    0.000 <string>:2(__hash__)
   124710    0.178    0.000    1.110    0.000 fromnumeric.py:2177(sum)
