         2323358 function calls (2294986 primitive calls) in 4.423 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    98839    0.013    0.000    0.040    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.038    0.010 functional.py:1(<module>)
       10    0.000    0.000    0.038    0.004 linear.py:1(<module>)
        2    0.000    0.000    0.037    0.019 _base.py:1(<module>)
     1736    0.037    0.000    0.037    0.000 {built-in method nt._getfinalpathname}
       82    0.000    0.000    0.036    0.000 dataclasses.py:1255(wrap)
       82    0.002    0.000    0.035    0.000 dataclasses.py:921(_process_class)
     7222    0.004    0.000    0.035    0.000 __init__.py:280(_compile)
      711    0.001    0.000    0.035    0.000 _pytree.py:605(tree_map_)
        5    0.000    0.000    0.035    0.007 _ops.py:252(__init__)
     1365    0.001    0.000    0.033    0.000 inspect.py:3325(signature)
        1    0.000    0.000    0.032    0.032 axes3d.py:1(<module>)
        1    0.000    0.000    0.032    0.032 patches.py:1(<module>)
     4641    0.011    0.000    0.032    0.000 <frozen importlib._bootstrap>:304(acquire)
     3422    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.032    0.032 graph_drawer.py:1(<module>)
     1365    0.001    0.000    0.032    0.000 inspect.py:3067(from_callable)
      872    0.003    0.000    0.032    0.000 __init__.py:34(_add_op_to_registry)
        1    0.001    0.001    0.032    0.032 chess_utils.py:1(<module>)
1491/1365    0.005    0.000    0.031    0.000 inspect.py:2463(_signature_from_callable)
      223    0.010    0.000    0.031    0.000 artist.py:1517(get_setters)
        1    0.000    0.000    0.031    0.031 shape_prop.py:1(<module>)
        1    0.000    0.000    0.031    0.031 __init__.py:440(_make_elementwise_unary_prim)
     1910    0.004    0.000    0.029    0.000 _ops.py:704(__getattr__)
      247    0.001    0.000    0.029    0.000 _compiler.py:740(compile)
        2    0.000    0.000    0.029    0.014 fake_quantize.py:1(<module>)
        2    0.000    0.000    0.028    0.014 __config__.py:1(<module>)
        1    0.000    0.000    0.028    0.028 rng_prims.py:1(<module>)
        1    0.000    0.000    0.028    0.028 rng_prims.py:206(register_run_with_rng_state_op)
      501    0.000    0.000    0.028    0.000 __init__.py:173(decomposition_decorator)
        2    0.000    0.000    0.028    0.014 observer.py:1(<module>)
     5768    0.002    0.000    0.027    0.000 __init__.py:174(search)
        1    0.000    0.000    0.027    0.027 rng_prims.py:161(register_run_and_save_rng_state_op)
     2084    0.004    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     1589    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.026    0.026 python.py:1(<module>)
        9    0.000    0.000    0.026    0.003 _base.py:729(__init_subclass__)
     1439    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      510    0.000    0.000    0.024    0.000 __init__.py:181(register)
        4    0.000    0.000    0.024    0.006 core.py:1(<module>)
     1042    0.024    0.000    0.024    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.002    0.002    0.024    0.024 {built-in method torch._C._initExtension}
     3936    0.019    0.000    0.024    0.000 __init__.py:585(from_uci)
        1    0.000    0.000    0.023    0.023 debug_prims.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.023    0.023 module.py:998(half)
      334    0.001    0.000    0.022    0.000 dataclasses.py:449(_create_fn)
       66    0.000    0.000    0.022    0.000 module.py:1007(<lambda>)
        1    0.000    0.000    0.022    0.022 impl.py:1(<module>)
       57    0.022    0.000    0.022    0.000 {method 'half' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.022    0.022 hub.py:1(<module>)
     1103    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1100    0.007    0.000    0.021    0.000 inspect.py:2368(_signature_from_function)
        1    0.000    0.000    0.020    0.020 Image.py:1(<module>)
        3    0.000    0.000    0.020    0.007 model.py:1(<module>)
      136    0.000    0.000    0.020    0.000 _docstring.py:38(__call__)
       82    0.000    0.000    0.019    0.000 dataclasses.py:1238(dataclass)
        1    0.000    0.000    0.019    0.019 __init__.py:167(_load_global_deps)
        2    0.000    0.000    0.019    0.010 platform.py:983(system)
        2    0.000    0.000    0.019    0.010 platform.py:894(uname)
  126/115    0.000    0.000    0.019    0.000 _docstring.py:79(__call__)
        1    0.000    0.000    0.019    0.019 _jit_internal.py:1(<module>)
        1    0.000    0.000    0.019    0.019 mock.py:1(<module>)
   137804    0.019    0.000    0.019    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.018    0.005 __init__.py:128(is_available)
        1    0.000    0.000    0.018    0.018 parallel_mctree.py:24(MCTree)
