0.17s/move
         65369964 function calls (63706036 primitive calls) in 49.203 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.303    1.303   48.245   48.245 parallel_mctree.py:349(collect_data)
740010/14510    0.357    0.000   11.452    0.001 module.py:1528(_wrapped_call_impl)
740010/14510    0.735    0.000   11.435    0.001 module.py:1534(_call_impl)
    14510    0.137    0.000   11.299    0.001 model.py:95(forward)
    43530   10.944    0.000   10.944    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
   174120    0.480    0.000   10.344    0.000 container.py:215(forward)
    29483    0.815    0.000   10.104    0.000 parallel_mctree.py:123(perform_expansion)
  2785043    1.145    0.000    9.948    0.000 __init__.py:3582(generate_legal_moves)
    14510    0.035    0.000    8.991    0.001 parallel_mctree.py:422(pre_process)
29870/29407    0.109    0.000    8.857    0.000 parallel_mctree.py:62(perform_noncompute_iter)
  2838322    2.309    0.000    6.349    0.000 __init__.py:1706(generate_pseudo_legal_moves)
    58890    0.064    0.000    5.842    0.000 __init__.py:2413(fen)
    58890    0.115    0.000    5.766    0.000 __init__.py:2681(epd)
    58890    1.692    0.000    5.001    0.000 __init__.py:979(board_fen)
   145100    0.106    0.000    3.150    0.000 conv.py:459(forward)
   145100    0.290    0.000    3.080    0.000 batchnorm.py:141(forward)
    29553    0.036    0.000    3.067    0.000 utilities.py:144(generate_board_key)
   145100    0.082    0.000    2.985    0.000 conv.py:451(_conv_forward)
   145100    2.902    0.000    2.903    0.000 {built-in method torch.conv2d}
  6477621    2.454    0.000    2.840    0.000 __init__.py:314(scan_reversed)
   145100    0.154    0.000    2.544    0.000 functional.py:2478(batch_norm)
      153    0.004    0.000    2.521    0.016 __init__.py:1(<module>)
   892193    2.393    0.000    2.393    0.000 parallel_node.py:26(__init__)
   145100    2.322    0.000    2.322    0.000 {built-in method torch.batch_norm}
  3768960    1.282    0.000    2.013    0.000 __init__.py:725(piece_at)
  2759826    1.032    0.000    1.985    0.000 __init__.py:3544(_is_safe)
    51744    0.498    0.000    1.202    0.000 parallel_node.py:75(pick_best_child)
   159610    0.073    0.000    1.177    0.000 activation.py:1390(forward)
   632/52    0.001    0.000    1.137    0.022 {built-in method builtins.__import__}
   159610    1.062    0.000    1.062    0.000 {built-in method torch.prelu}
  1744228    0.455    0.000    0.964    0.000 __init__.py:496(symbol)
    43530    0.026    0.000    0.929    0.000 linear.py:115(forward)
    14510    0.075    0.000    0.919    0.000 utilities.py:67(batched_fen_to_tensor)
    43530    0.887    0.000    0.887    0.000 {built-in method torch._C._nn.linear}
    29870    0.011    0.000    0.688    0.000 __init__.py:1921(is_game_over)
    29945    0.078    0.000    0.681    0.000 __init__.py:1928(outcome)
    29020    0.054    0.000    0.662    0.000 utilities.py:104(normalize_torch)
  3925343    0.625    0.000    0.625    0.000 __init__.py:735(piece_type_at)
    58890    0.283    0.000    0.622    0.000 __init__.py:2376(castling_xfen)
    92165    0.256    0.000    0.619    0.000 __init__.py:3618(generate_castling_moves)
  1551840    0.468    0.000    0.616    0.000 parallel_node.py:95(get_score)
    29020    0.146    0.000    0.608    0.000 functional.py:4758(normalize)
    52061    0.241    0.000    0.567    0.000 __init__.py:2200(push)
   383096    0.122    0.000    0.567    0.000 __init__.py:823(attackers_mask)
      317    0.000    0.000    0.532    0.002 parallel_mctree.py:394(check_gameover)
 1018/230    0.001    0.000    0.502    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   403205    0.465    0.000    0.465    0.000 __init__.py:805(_attackers_mask)
  4905882    0.438    0.000    0.438    0.000 {method 'bit_length' of 'int' objects}
    43530    0.428    0.000    0.428    0.000 {built-in method torch.cat}
  1744248    0.322    0.000    0.410    0.000 __init__.py:60(piece_symbol)
   234244    0.071    0.000    0.401    0.000 __init__.py:826(is_attacked_by)
   700231    0.399    0.000    0.399    0.000 __init__.py:775(attacks_mask)
       12    0.000    0.000    0.371    0.031 _jit_internal.py:888(_overload)
  1436708    0.367    0.000    0.367    0.000 module.py:1696(__getattr__)
    29020    0.329    0.000    0.367    0.000 utilities.py:43(fen_to_tensor_lite)
    14510    0.037    0.000    0.343    0.000 __init__.py:782(synchronize)
  3417846    0.342    0.000    0.342    0.000 {method 'append' of 'list' objects}
   769030    0.328    0.000    0.328    0.000 {built-in method torch._C._get_tracing_state}
    29020    0.023    0.000    0.312    0.000 _tensor.py:753(norm)
    29020    0.119    0.000    0.285    0.000 functional.py:1500(norm)
   240739    0.217    0.000    0.281    0.000 __init__.py:3221(is_castling)
   883927    0.193    0.000    0.272    0.000 <string>:2(__hash__)
  2519087    0.266    0.000    0.266    0.000 __init__.py:3184(is_en_passant)
    14510    0.009    0.000    0.241    0.000 __init__.py:360(__init__)
      897    0.006    0.000    0.232    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    14513    0.027    0.000    0.232    0.000 _utils.py:9(_get_device_index)
    35/30    0.053    0.002    0.230    0.008 _ops.py:292(py_impl)
   118907    0.169    0.000    0.209    0.000 __init__.py:3525(_slider_blockers)
   886446    0.201    0.000    0.201    0.000 <string>:2(__eq__)
    14510    0.017    0.000    0.196    0.000 _utils.py:759(_get_device_index)
    29020    0.102    0.000    0.185    0.000 utilities.py:32(fen_processor)
    29020    0.033    0.000    0.179    0.000 _tensor.py:1037(__iter__)
    14510    0.012    0.000    0.175    0.000 _utils.py:733(_get_current_device_index)
    14510    0.173    0.000    0.173    0.000 {method 'type' of 'torch._C.TensorBase' objects}
    14510    0.016    0.000    0.163    0.000 _utils.py:721(_get_device_attr)
   518962    0.107    0.000    0.160    0.000 __init__.py:311(msb)
    14510    0.007    0.000    0.158    0.000 activation.py:356(forward)
    29020    0.154    0.000    0.154    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
    14510    0.151    0.000    0.151    0.000 {built-in method torch.tanh}
       36    0.000    0.000    0.150    0.004 _ops.py:301(fallthrough)
  1551896    0.148    0.000    0.148    0.000 {built-in method math.sqrt}
   174120    0.086    0.000    0.143    0.000 container.py:207(__iter__)
     1046    0.005    0.000    0.138    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      897    0.002    0.000    0.134    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    29945    0.009    0.000    0.131    0.000 __init__.py:1980(is_checkmate)
    29020    0.130    0.000    0.130    0.000 {method 'float' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.127    0.127 parallel_mctree.py:288(__init__)
     1027    0.001    0.000    0.126    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
  945/818    0.001    0.000    0.126    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1027    0.002    0.000    0.126    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
    14514    0.012    0.000    0.126    0.000 __init__.py:105(is_available)
     91/7    0.003    0.000    0.122    0.017 library.py:113(impl)
    14510    0.010    0.000    0.121    0.000 dropout.py:58(forward)
1960/1928    0.018    0.000    0.120    0.000 {built-in method builtins.__build_class__}
    14510    0.006    0.000    0.117    0.000 _utils.py:708(_get_available_device_type)
     1765    0.009    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
   148406    0.065    0.000    0.115    0.000 __init__.py:764(king)
    29020    0.114    0.000    0.114    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
   936310    0.112    0.000    0.112    0.000 {method 'upper' of 'str' objects}
    14510    0.010    0.000    0.111    0.000 activation.py:1544(forward)
    14510    0.075    0.000    0.111    0.000 functional.py:1279(dropout)
    29020    0.109    0.000    0.109    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
    29/13    0.000    0.000    0.107    0.008 <frozen importlib._bootstrap_external>:1287(create_module)
   104322    0.082    0.000    0.107    0.000 __init__.py:901(_remove_piece_at)
    29/13    0.023    0.001    0.107    0.008 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.107    0.053 quantize.py:1(<module>)
      897    0.105    0.000    0.105    0.000 {built-in method _io.open_code}
    29945    0.011    0.000    0.104    0.000 __init__.py:1805(is_check)
    14510    0.010    0.000    0.102    0.000 functional.py:1855(softmax)
       15    0.000    0.000    0.099    0.007 utils.py:1(<module>)
    29803    0.010    0.000    0.097    0.000 __init__.py:2051(is_fivefold_repetition)
        3    0.000    0.000    0.095    0.032 module.py:1051(to)
    153/3    0.001    0.000    0.095    0.032 module.py:776(_apply)
   181350    0.049    0.000    0.093    0.000 __init__.py:2393(<genexpr>)
    29945    0.016    0.000    0.092    0.000 __init__.py:1793(checkers_mask)
      231    0.000    0.000    0.092    0.000 module.py:1150(convert)
      231    0.090    0.000    0.092    0.000 {method 'to' of 'torch._C.TensorBase' objects}
        2    0.000    0.000    0.092    0.046 fake_quantize.py:1(<module>)
        2    0.000    0.000    0.091    0.045 observer.py:1(<module>)
