Invalid macro definition.
traced model
traced model
0.80moves/sec -> 0
         6763874 function calls (5441169 primitive calls) in 127.297 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10100    0.481    0.000  122.947    0.012 node.py:157(expand)
     9915  119.585    0.012  121.614    0.012 node.py:116(run_rollout)
      161    0.004    0.000    2.641    0.016 __init__.py:1(<module>)
       15    0.000    0.000    2.450    0.163 _jit_internal.py:1027(_overload)
   189/83    0.002    0.000    1.866    0.022 _ops.py:369(fallthrough)
    20590    0.359    0.000    0.807    0.000 node.py:76(pick_best_child)
   297526    0.799    0.000    0.799    0.000 node.py:27(__init__)
     9741    0.262    0.000    0.721    0.000 data.py:103(tokenize_fen)
     9741    0.235    0.000    0.483    0.000 utilities.py:115(normalize_numpy)
     12/8    0.000    0.000    0.442    0.055 _ops.py:172(py_functionalize_impl)
   173/61    0.015    0.000    0.428    0.007 _ops.py:307(py_impl)
   579507    0.287    0.000    0.378    0.000 node.py:98(get_score)
541036/10255    0.355    0.000    0.355    0.000 node.py:194(bubble_up)
      924    0.006    0.000    0.348    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
     9741    0.304    0.000    0.304    0.000 {built-in method torch.tensor}
    27/14    0.000    0.000    0.300    0.021 _ops.py:279(__init__)
        1    0.165    0.165    0.282    0.282 __init__.py:175(_load_dll_libraries)
     9741    0.039    0.000    0.246    0.000 fromnumeric.py:2349(sum)
      925    0.002    0.000    0.235    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
     9741    0.034    0.000    0.225    0.000 fromnumeric.py:109(take)
     9741    0.057    0.000    0.196    0.000 fromnumeric.py:69(_wrapreduction)
      925    0.194    0.000    0.194    0.000 {built-in method _io.open_code}
      113    0.001    0.000    0.192    0.002 custom_ops.py:187(__init__)
     9741    0.031    0.000    0.191    0.000 fromnumeric.py:51(_wrapfunc)
     9741    0.191    0.000    0.191    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
      113    0.000    0.000    0.189    0.002 custom_ops.py:599(_register_to_dispatcher)
        6    0.159    0.026    0.184    0.031 _trace.py:470(run_mod_and_filter_tensor_outputs)
        2    0.000    0.000    0.173    0.087 batchnorm.py:1(<module>)
      7/5    0.000    0.000    0.169    0.034 _ops.py:320(py_autograd_impl)
      368    0.025    0.000    0.164    0.000 _recursive.py:734(get_overload_annotations)
     9741    0.150    0.000    0.150    0.000 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.140    0.140 effects.py:1(<module>)
        1    0.000    0.000    0.140    0.140 effects.py:68(__init__)
        2    0.139    0.069    0.139    0.069 {built-in method torch._C._jit_pass_optimize_for_inference}
        1    0.000    0.000    0.136    0.136 cond.py:1(<module>)
     9841    0.134    0.000    0.134    0.000 {method 'reduce' of 'numpy.ufunc' objects}
2717/2683    0.027    0.000    0.133    0.000 {built-in method builtins.__build_class__}
       10    0.000    0.000    0.130    0.013 linear.py:1(<module>)
        1    0.000    0.000    0.129    0.129 model.py:197(__init__)
        1    0.000    0.000    0.128    0.128 auto_functionalize.py:1(<module>)
  970/881    0.001    0.000    0.127    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.124    0.124 auto_functionalize.py:380(__init__)
      113    0.000    0.000    0.121    0.001 library.py:192(_register_fake)
    27232    0.017    0.000    0.116    0.000 _jit_internal.py:1107(_get_overloaded_methods)
        1    0.000    0.000    0.114    0.114 platform.py:1103(machine)
        3    0.000    0.000    0.114    0.038 platform.py:968(uname)
        2    0.000    0.000    0.114    0.057 platform.py:321(_wmi_query)
        2    0.114    0.057    0.114    0.057 {built-in method _wmi.exec_query}
     9741    0.111    0.000    0.111    0.000 {method 'unsqueeze_' of 'torch._C.TensorBase' objects}
      249    0.000    0.000    0.110    0.000 dataclasses.py:1294(wrap)
      249    0.008    0.000    0.110    0.000 dataclasses.py:929(_process_class)
    27/25    0.000    0.000    0.106    0.004 <frozen importlib._bootstrap_external>:1318(create_module)
    27/25    0.033    0.001    0.105    0.004 {built-in method _imp.create_dynamic}
        5    0.000    0.000    0.105    0.021 linear.py:93(__init__)
       11    0.105    0.010    0.105    0.010 {method 'uniform_' of 'torch._C.TensorBase' objects}
        5    0.000    0.000    0.105    0.021 linear.py:114(reset_parameters)
        5    0.000    0.000    0.105    0.021 init.py:527(kaiming_uniform_)
      986    0.005    0.000    0.104    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    10165    0.041    0.000    0.103    0.000 grad_mode.py:84(__exit__)
        1    0.000    0.000    0.102    0.102 platform.py:447(win32_ver)
        1    0.000    0.000    0.102    0.102 platform.py:388(_win32_ver)
   623425    0.102    0.000    0.102    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.100    0.100 module.py:1(<module>)
   343/62    0.015    0.000    0.097    0.002 library.py:301(impl)
      113    0.001    0.000    0.096    0.001 fake_impl.py:34(register)
    83/18    0.001    0.000    0.095    0.005 custom_ops.py:335(inner)
    27994    0.030    0.000    0.094    0.000 _jit_internal.py:129(_qualified_name)
       48    0.001    0.000    0.094    0.002 transformer.py:781(forward)
      368    0.025    0.000    0.093    0.000 _jit_internal.py:900(module_has_exports)
      968    0.001    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
   559/20    0.001    0.000    0.092    0.005 {built-in method builtins.__import__}
      968    0.002    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
   579535    0.091    0.000    0.091    0.000 {built-in method math.sqrt}
       48    0.086    0.002    0.088    0.002 {built-in method torch._transformer_encoder_layer_fwd}
3366/2262    0.041    0.000    0.087    0.000 {built-in method builtins.dir}
   883/55    0.001    0.000    0.087    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      113    0.000    0.000    0.084    0.001 utils.py:45(get_source)
      368    0.010    0.000    0.084    0.000 _recursive.py:922(get_property_stubs)
      113    0.001    0.000    0.084    0.001 inspect.py:1661(getframeinfo)
     1306    0.008    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      141    0.001    0.000    0.083    0.001 inspect.py:1052(findsource)
        1    0.000    0.000    0.081    0.081 graph_drawer.py:1(<module>)
        1    0.000    0.000    0.080    0.080 shape_prop.py:1(<module>)
    20330    0.039    0.000    0.080    0.000 grad_mode.py:184(__init__)
      923    0.013    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
  356/354    0.002    0.000    0.079    0.000 inspect.py:1000(getmodule)
453319/65979    0.078    0.000    0.075    0.000 {built-in method builtins.getattr}
      249    0.000    0.000    0.072    0.000 dataclasses.py:1277(dataclass)
    30041    0.069    0.000    0.069    0.000 {method 'fen' of 'bulletchess.Board' objects}
420002/414338    0.062    0.000    0.069    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.067    0.067 dataloader.py:1(<module>)
      923    0.065    0.000    0.065    0.000 {built-in method marshal.loads}
     1104    0.027    0.000    0.064    0.000 module.py:2999(__dir__)
     9741    0.063    0.000    0.063    0.000 {method 'item' of 'torch._C.TensorBase' objects}
      368    0.000    0.000    0.061    0.000 frontend.py:200(get_class_properties)
      369    0.002    0.000    0.061    0.000 inspect.py:621(getmembers)
      249    0.003    0.000    0.061    0.000 dataclasses.py:470(add_fns_to_class)
      113    0.004    0.000    0.060    0.001 autograd.py:23(make_autograd_impl)
      994    0.003    0.000    0.059    0.000 <frozen ntpath>:705(realpath)
      369    0.026    0.000    0.059    0.000 inspect.py:579(_getmembers)
     2084    0.006    0.000    0.055    0.000 _ops.py:1178(__getattr__)
     1994    0.052    0.000    0.052    0.000 {built-in method nt._getfinalpathname}
      816    0.002    0.000    0.049    0.000 _pytree.py:1383(tree_map_)
9843/9437    0.005    0.000    0.048    0.000 typing.py:426(inner)
    10174    0.045    0.000    0.048    0.000 grad_mode.py:75(__init__)
     1138    0.003    0.000    0.048    0.000 _ops.py:1338(__getattr__)
     3461    0.003    0.000    0.044    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
    27258    0.010    0.000    0.044    0.000 _mangling.py:46(is_mangled)
        1    0.000    0.000    0.044    0.044 graph_settings.py:1(<module>)
        2    0.000    0.000    0.043    0.021 _functions.py:1(<module>)
     4465    0.014    0.000    0.043    0.000 <frozen importlib._bootstrap>:304(acquire)
      922    0.004    0.000    0.042    0.000 __init__.py:64(_add_op_to_registry)
